KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
1209,Integritas Pegawai,85.44,93.84,96.42,83.6,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1209,Transparansi dan Keadilan Layanan,76.72,80.89,79.37,75.62,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1209,Upaya Pencegahan Korupsi,72.84,81.34,72.81,66.16,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1210,Eksternal,84.49,86.75,83.18,85.15,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Eksternal
1210,Integritas Pegawai,92.29,96.28,94.22,96.05,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Integritas Pegawai
1210,Transparansi dan Keadilan Layanan,82.04,81.69,75.43,82.66,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1210,Upaya Pencegahan Korupsi,78.26,81.1,78.44,75.57,PEMERINTAH KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1211,Eksternal,87.24,86.72,82.72,77.42,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Eksternal
1211,Integritas Pegawai,96.82,96.58,96.37,89.24,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Integritas Pegawai
1211,Transparansi dan Keadilan Layanan,82.9,80.12,75.64,74.95,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1211,Upaya Pencegahan Korupsi,80.86,82.17,74.49,66.82,PEMERINTAH KABUPATEN KARO,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1212,Eksternal,81.48,85.83,77.5,70.2,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Eksternal
1212,Integritas Pegawai,89.01,93.85,93.31,80.03,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Integritas Pegawai
1212,Transparansi dan Keadilan Layanan,76.36,80.26,67.23,69.56,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1212,Upaya Pencegahan Korupsi,78.09,82.33,69.91,60.03,PEMERINTAH KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1213,Eksternal,84.99,88.01,80.51,79.45,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Eksternal
1213,Integritas Pegawai,92.83,94.94,96.72,94.37,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Integritas Pegawai
1213,Transparansi dan Keadilan Layanan,81.27,81.52,72.79,76.71,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1213,Upaya Pencegahan Korupsi,79.92,86.58,70.07,65.68,PEMERINTAH KABUPATEN LANGKAT,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1214,Eksternal,84.5,86.37,80.25,71.99,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Eksternal
1214,Integritas Pegawai,94.34,96.52,96.42,91.04,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1214,Transparansi dan Keadilan Layanan,82.57,82.45,79.12,63.36,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1214,Upaya Pencegahan Korupsi,75.56,78.97,63.61,59.31,PEMERINTAH KABUPATEN NIAS SELATAN,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1215,Eksternal,85.79,83.95,86.1,78.8,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Eksternal
1215,Integritas Pegawai,94.36,96.67,95.64,91.44,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1215,Transparansi dan Keadilan Layanan,82.71,78.48,79.04,77.1,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1215,Upaya Pencegahan Korupsi,79.32,75.19,82.33,66.56,PEMERINTAH KABUPATEN HUMBANG HASUNDUTAN,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1216,Eksternal,86.94,85.98,84.32,86.61,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Eksternal
1216,Integritas Pegawai,94.19,96.46,97.53,96.2,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Integritas Pegawai
1216,Transparansi dan Keadilan Layanan,82.3,79.91,79.54,82.45,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1216,Upaya Pencegahan Korupsi,83.4,80.26,74.38,80.05,PEMERINTAH KABUPATEN PAKPAK BHARAT,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1217,Eksternal,87.98,87.48,82.92,81.95,PEMERINTAH KABUPATEN SAMOSIR,PROVINSI SUMATERA UTARA,Eksternal
1217,Integritas Pegawai,96.48,97.71,97.31,94.43,PEMERINTAH KABUPATEN SAMOSIR,PROVINSI SUMATERA UTARA,Integritas Pegawai
1217,Transparansi dan Keadilan Layanan,83.01,82.48,74.38,75.01,PEMERINTAH KABUPATEN SAMOSIR,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
