KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
1375,Integritas Pegawai,97.9,98.17,99.48,99.07,PEMERINTAH KOTA BUKITTINGGI,PROVINSI SUMATERA BARAT,Integritas Pegawai
1376,Eksper,76.04,72.14,75.6,80.22,PEMERINTAH KOTA PAYAKUMBUH,PROVINSI SUMATERA BARAT,Eksper
1376,Integritas Pegawai,95.58,97.05,95.01,97.15,PEMERINTAH KOTA PAYAKUMBUH,PROVINSI SUMATERA BARAT,Integritas Pegawai
1377,Eksper,69.48,67.52,65.97,64.29,PEMERINTAH KOTA PARIAMAN,PROVINSI SUMATERA BARAT,Eksper
1377,Integritas Pegawai,97.17,97.04,95.57,92.81,PEMERINTAH KOTA PARIAMAN,PROVINSI SUMATERA BARAT,Integritas Pegawai
1400,Eksper,55.72,54.8,48.98,64.61,PEMERINTAH PROVINSI RIAU,PROVINSI RIAU,Eksper
1400,Integritas Pegawai,95.57,91.66,97.6,93.03,PEMERINTAH PROVINSI RIAU,PROVINSI RIAU,Integritas Pegawai
1401,Eksper,57.68,60.21,70.97,68.25,PEMERINTAH KABUPATEN KUANTAN SINGINGI,PROVINSI RIAU,Eksper
1401,Integritas Pegawai,91.29,94.36,96.06,87.28,PEMERINTAH KABUPATEN KUANTAN SINGINGI,PROVINSI RIAU,Integritas Pegawai
1402,Eksper,72.9,59.43,74.37,71.0,PEMERINTAH KABUPATEN INDRAGIRI HULU,PROVINSI RIAU,Eksper
1402,Integritas Pegawai,93.18,96.8,94.86,92.31,PEMERINTAH KABUPATEN INDRAGIRI HULU,PROVINSI RIAU,Integritas Pegawai
1403,Eksper,74.61,66.29,70.19,68.31,PEMERINTAH KABUPATEN INDRAGIRI HILIR,PROVINSI RIAU,Eksper
1403,Integritas Pegawai,95.84,96.62,95.73,92.13,PEMERINTAH KABUPATEN INDRAGIRI HILIR,PROVINSI RIAU,Integritas Pegawai
1404,Eksper,74.01,66.2,76.08,70.21,PEMERINTAH KABUPATEN PELALAWAN,PROVINSI RIAU,Eksper
1404,Integritas Pegawai,95.95,95.55,93.11,90.09,PEMERINTAH KABUPATEN PELALAWAN,PROVINSI RIAU,Integritas Pegawai
1405,Eksper,72.36,64.47,78.95,73.83,PEMERINTAH KABUPATEN SIAK,PROVINSI RIAU,Eksper
1405,Integritas Pegawai,95.76,97.6,95.35,97.44,PEMERINTAH KABUPATEN SIAK,PROVINSI RIAU,Integritas Pegawai
1406,Eksper,72.52,60.01,79.79,69.88,PEMERINTAH KABUPATEN KAMPAR,PROVINSI RIAU,Eksper
1406,Integritas Pegawai,93.94,97.62,96.7,92.35,PEMERINTAH KABUPATEN KAMPAR,PROVINSI RIAU,Integritas Pegawai
1407,Eksper,76.16,58.31,72.83,73.32,PEMERINTAH KABUPATEN ROKAN HULU,PROVINSI RIAU,Eksper
1407,Integritas Pegawai,94.84,92.88,95.03,93.9,PEMERINTAH KABUPATEN ROKAN HULU,PROVINSI RIAU,Integritas Pegawai
1408,Eksper,64.25,63.76,69.87,70.37,PEMERINTAH KABUPATEN BENGKALIS,PROVINSI RIAU,Eksper
1408,Integritas Pegawai,97.55,95.92,97.38,96.3,PEMERINTAH KABUPATEN BENGKALIS,PROVINSI RIAU,Integritas Pegawai
1409,Eksper,72.05,60.83,62.85,74.63,PEMERINTAH KABUPATEN ROKAN HILIR,PROVINSI RIAU,Eksper
1409,Integritas Pegawai,93.67,95.41,95.8,94.82,PEMERINTAH KABUPATEN ROKAN HILIR,PROVINSI RIAU,Integritas Pegawai
1410,Eksper,68.49,59.66,69.78,75.41,PEMERINTAH KABUPATEN KEPULAUAN MERANTI,PROVINSI RIAU,Eksper
1410,Integritas Pegawai,97.79,96.96,95.4,88.16,PEMERINTAH KABUPATEN KEPULAUAN MERANTI,PROVINSI RIAU,Integritas Pegawai
1471,Eksper,61.52,61.3,65.06,69.24,PEMERINTAH KOTA PEKANBARU,PROVINSI RIAU,Eksper
1471,Integritas Pegawai,92.21,93.46,96.52,93.41,PEMERINTAH KOTA PEKANBARU,PROVINSI RIAU,Integritas Pegawai
1473,Eksper,71.21,64.17,70.13,65.26,PEMERINTAH KOTA DUMAI,PROVINSI RIAU,Eksper
1473,Integritas Pegawai,96.51,97.29,90.04,87.68,PEMERINTAH KOTA DUMAI,PROVINSI RIAU,Integritas Pegawai
1500,Eksper,67.04,70.42,64.44,58.05,PEMERINTAH PROVINSI JAMBI,PROVINSI JAMBI,Eksper
1500,Integritas Pegawai,90.84,93.92,95.36,94.45,PEMERINTAH PROVINSI JAMBI,PROVINSI JAMBI,Integritas Pegawai
1501,Eksper,62.38,60.17,71.96,73.98,PEMERINTAH KABUPATEN KERINCI,PROVINSI JAMBI,Eksper
1501,Integritas Pegawai,83.39,92.26,91.74,85.33,PEMERINTAH KABUPATEN KERINCI,PROVINSI JAMBI,Integritas Pegawai
1502,Eksper,63.63,62.15,67.12,71.15,PEMERINTAH KABUPATEN MERANGIN,PROVINSI JAMBI,Eksper
1502,Integritas Pegawai,95.48,84.58,86.7,89.95,PEMERINTAH KABUPATEN MERANGIN,PROVINSI JAMBI,Integritas Pegawai
1503,Eksper,55.84,58.48,76.96,69.1,PEMERINTAH KABUPATEN SAROLANGUN,PROVINSI JAMBI,Eksper
